moisture,temperature,humidity,Pump Data
683.8029058,29.18490786,71.78969946,0
408.5715671,33.70720471,77.97739053,1
659.0920744,24.76031105,60.77628206,1
842.929764,32.73851507,59.32354345,0
414.1993203,25.69274449,66.62491413,1
487.5212262,33.80680929,47.77469251,1
820.8567329,32.65949511,40.31759197,0
726.5048072,38.08393948,50.91595054,0
939.9159784,35.43074707,60.82272131,0
628.397718,34.23292319,42.99440241,1
780.3895476,32.45140078,72.28222536,0
768.7010788,22.61185697,62.21459137,0
468.513799,27.01024863,61.77921565,1
801.6475766,24.74705146,64.86232578,0
651.9454739,24.01856157,56.57166562,1
685.823752,32.96375881,64.836761,0
552.4985002,27.99827866,62.05800089,1
527.5880503,27.89698264,49.92390283,1
762.5760332,34.83673164,45.72879474,0
440.6303956,22.46622021,40.23528975,1
748.5945452,32.37186722,50.51121641,0
541.4624976,23.01426608,67.31921149,1
466.5218472,23.28497444,71.65649789,1
903.2674218,25.51245583,74.57481526,0
673.6411749,31.48275853,41.97814358,1
400.7745337,37.03853837,58.10408442,1
783.7697805,36.83077335,81.20181201,0
424.8419871,38.64757166,71.10451413,1
754.14794,22.2119609,54.84962341,0
805.9594626,29.33212651,72.40464911,0
395.4654845,31.99541439,77.41809636,0
673.7875478,19.02299534,78.80498538,1
731.7512713,26.22425309,76.7051323,0
462.1622986,34.90846594,44.35794312,0
927.8079638,35.28726983,39.99390152,0
898.8926732,23.86116554,61.51615757,0
913.113218,32.82766255,74.60337098,0
351.3558991,22.38197726,56.59230979,1
766.2113,19.62990205,46.27759015,0
891.4067107,18.44366419,58.18156467,0
895.4460155,32.51240158,53.58096683,0
527.994279,29.05412642,59.45842859,1
518.4131014,26.74577988,75.11348102,1
917.9210541,20.66510899,46.77438853,0
425.8389695,38.80450797,68.49685483,1
497.2621171,32.10361139,75.83862846,1
625.6791284,36.16177182,55.75736243,1
703.7294322,36.62782649,68.50373606,0
960.3877125,23.41158867,49.91586603,0
930.6613623,20.10687481,61.10139107,0
831.3398657,21.24283558,72.72860039,0
800.0186865,35.32251749,49.85763478,0
875.1762884,38.97932302,63.38915578,0
492.0113428,30.69033234,70.88355159,1
808.5531799,33.22723857,45.26971073,0
496.3696602,38.23214297,44.07958961,1
733.6169237,27.65112189,63.77504282,0
550.2446921,33.09027604,57.73107061,1
733.0429809,36.04671237,51.66838899,0
672.593627,36.29225945,44.70741231,1
437.3606396,34.1753631,47.10764913,1
867.9160113,23.65485943,81.2259392,0
840.3122048,28.50899242,43.69588123,0
591.3993548,37.67302885,39.70788536,1
392.9717059,29.88475236,62.70444708,1
377.766874,29.46343116,62.03854994,1
359.6880054,18.42114697,49.00948583,1
392.5907137,28.58465415,59.34578281,1
408.8220381,33.42320894,72.49057658,1
617.4736703,33.82878329,67.41403773,1
954.6214434,24.90582822,75.6340079,0
718.3680838,18.87048114,69.53474979,0
693.6435959,26.38227776,80.96259893,0
394.9716022,27.96928989,68.06970814,1
615.1722709,19.93847873,39.13195054,1
871.3250242,26.67489864,78.64099226,0
747.0803534,33.51201906,75.71614774,0
418.4003452,34.9854744,63.34809685,1
369.2419288,32.5903976,73.84502511,1
733.9186898,35.94243818,78.05485409,0
769.3017604,19.7773322,56.57729304,0
924.1754133,32.19162455,59.64859301,0
401.4952493,35.7290513,69.34994159,1
693.6749208,22.62732984,50.96885041,0
398.488903,31.61827775,62.14365628,1
610.9725248,29.86596628,75.2706511,1
506.4048566,24.19754699,44.83529542,1
731.7547666,24.91222857,44.54538979,0
863.5063924,23.94828469,76.42347719,0
895.81224,25.23651133,51.31257887,0
439.7016469,31.09212269,38.62614319,1
